OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1314385,Arson,WV,4/17/2005,4/17/2005,2005,2,38.02773317,-81.67956665,0
1314386,Debris Burning,WV,4/17/2005,4/17/2005,2005,2,38.02582044,-81.68147451,0
1314387,Equipment Use,WV,4/20/2005,4/20/2005,2005,0.1,38.45290343,-81.92066422,0
1314388,Children,WV,4/20/2005,4/20/2005,2005,0.1,38.57037535,-81.82104255,0
1314389,Debris Burning,WV,2/18/2005,2/18/2005,2005,0.1,37.99117267,-82.14850037,0
1314390,Debris Burning,WV,4/15/2005,4/16/2005,2005,0.5,38.28863198,-81.75539125,1
1314391,Fireworks,WV,5/4/2005,5/4/2005,2005,95,38.0297931,-81.3806433,0
1314392,Debris Burning,WV,5/10/2005,5/10/2005,2005,0.2,37.90490631,-82.43620635,0
1314393,Arson,WV,5/10/2005,5/10/2005,2005,1,38.14655032,-82.43467852,0
1314394,Arson,WV,5/13/2005,5/13/2005,2005,0.1,38.4105551,-82.36036443,0
1314395,Debris Burning,WV,6/23/2005,6/23/2005,2005,0.5,38.04119075,-82.15411303,0
1314396,Debris Burning,WV,6/27/2005,6/27/2005,2005,0.8,38.02980904,-82.12238461,0
1314397,Debris Burning,WV,6/25/2005,6/25/2005,2005,0.1,38.65381218,-81.93090716,0
1314398,Fireworks,WV,6/25/2005,6/25/2005,2005,0.5,38.15420707,-81.75762062,0
1314399,Debris Burning,WV,2/7/2005,2/7/2005,2005,2,39.05785476,-81.64537662,0
1314400,Debris Burning,WV,2/5/2005,2/5/2005,2005,0.6,39.10413185,-81.07517519,0
1314401,Debris Burning,WV,2/6/2005,2/6/2005,2005,0.1,39.32162652,-81.29749958,0
1314402,Powerline,WV,3/7/2005,3/7/2005,2005,15,38.67432027,-81.53035155,0
1314403,Debris Burning,WV,3/14/2005,3/14/2005,2005,0.5,39.22440999,-81.52223295,0
1314404,Debris Burning,WV,3/17/2005,3/17/2005,2005,0.1,38.69097463,-81.65952167,0
1314405,Debris Burning,WV,3/17/2005,3/17/2005,2005,2,38.72052295,-81.74233969,0
1314406,Debris Burning,WV,3/19/2005,3/19/2005,2005,1,38.94386747,-80.66148258,0
1314407,Debris Burning,WV,3/19/2005,3/19/2005,2005,3,38.86499439,-80.92105452,0
1314408,Debris Burning,WV,3/19/2005,3/19/2005,2005,0.1,38.71476078,-81.51516816,0
1314409,Debris Burning,WV,3/22/2005,3/22/2005,2005,1,38.73991641,-81.3799765,0
1314410,Debris Burning,WV,3/22/2005,3/22/2005,2005,6,38.94710293,-80.78765521,0
1314411,Smoking,WV,3/31/2005,3/31/2005,2005,0.2,39.43839901,-81.15165903,0
1314412,Debris Burning,WV,4/4/2005,4/4/2005,2005,0.8,39.22643193,-81.03343564,0
1314413,Debris Burning,WV,4/4/2005,4/4/2005,2005,1,39.12578322,-81.65296048,0
1314414,Equipment Use,WV,4/5/2005,4/5/2005,2005,0.4,38.79512663,-81.74282508,0
1314415,Debris Burning,WV,4/5/2005,4/5/2005,2005,0.1,39.528541,-80.87902567,0
1314416,Equipment Use,WV,4/9/2005,4/9/2005,2005,0.2,38.74820677,-81.28509321,0
1314417,Arson,WV,4/11/2005,4/11/2005,2005,35,38.55602241,-81.22601771,0
1314418,Equipment Use,WV,4/9/2005,4/9/2005,2005,2,39.18978909,-81.61129954,0
1314419,Equipment Use,WV,4/11/2005,4/11/2005,2005,0.2,38.60870907,-81.64771904,0
1314420,Debris Burning,WV,4/14/2005,4/14/2005,2005,35,39.14486499,-81.34720819,0
1314421,Debris Burning,WV,4/14/2005,4/14/2005,2005,0.4,39.36205406,-80.90137986,0
1314422,Debris Burning,WV,4/17/2005,4/17/2005,2005,0.3,39.20973553,-81.07128004,0
1314423,Arson,WV,4/14/2005,4/14/2005,2005,2,38.61993527,-81.2839529,0
1314424,Arson,WV,4/15/2005,4/16/2005,2005,2,38.75647956,-81.79304032,1
1314425,Equipment Use,WV,4/18/2005,4/18/2005,2005,0.1,38.95105785,-81.63805978,0
1314426,Debris Burning,WV,4/16/2005,4/16/2005,2005,2,39.09679214,-80.70222171,0
1314427,Debris Burning,WV,4/17/2005,4/17/2005,2005,0.5,39.28820845,-81.35724938,0
1314428,Equipment Use,WV,3/22/2005,3/22/2005,2005,0.5,39.14407054,-81.42143799,0
1314429,Debris Burning,WV,4/5/2005,4/5/2005,2005,0.1,39.63310608,-80.09870544,0
1314430,Debris Burning,WV,4/5/2005,4/5/2005,2005,4,38.94964864,-81.28984514,0
1314431,Debris Burning,WV,4/14/2005,4/14/2005,2005,0.1,39.24187019,-81.62189072,0
1314432,Debris Burning,WV,3/31/2005,3/31/2005,2005,0.1,39.25225839,-80.79294993,0
1314433,Debris Burning,WV,4/9/2005,4/9/2005,2005,0.1,39.16784546,-80.63008289,0
1314434,Debris Burning,WV,5/8/2005,5/8/2005,2005,0.1,39.22680163,-81.64875164,0
1314435,Fireworks,WV,5/9/2005,5/9/2005,2005,0.1,39.2914526,-80.7628701,0
1314436,Arson,WV,5/10/2005,5/10/2005,2005,1,38.76320477,-81.34132236,0
1314437,Debris Burning,WV,6/5/2005,6/5/2005,2005,0.5,39.23474342,-81.68132538,0
1314438,Powerline,WV,5/29/2005,5/29/2005,2005,0.5,39.22210785,-81.35312589,0
1314439,Powerline,WV,6/21/2005,6/21/2005,2005,0.1,39.23464755,-81.50563554,0
1314440,Campfire,WV,8/1/2005,8/1/2005,2005,0.6,40.20095766,-80.62322455,0
1314441,Fireworks,WV,8/17/2005,8/17/2005,2005,0.1,39.39133499,-79.74113534,0
1314442,Equipment Use,WV,8/19/2005,8/19/2005,2005,0.1,40.61038455,-80.6010517,0
1314443,Equipment Use,WV,9/7/2005,9/7/2005,2005,0.2,39.5479317,-80.11739421,0
1314444,Equipment Use,WV,9/10/2005,9/10/2005,2005,0.8,40.59859623,-80.55768722,0
1314445,Debris Burning,WV,9/21/2005,9/21/2005,2005,0.1,39.21005489,-79.87782953,0
1314446,Debris Burning,WV,9/22/2005,9/22/2005,2005,2,39.61611941,-80.3821363,0
1314447,Powerline,WV,11/6/2005,11/6/2005,2005,0.5,39.36590425,-80.13316721,0
1314448,Debris Burning,WV,11/6/2005,11/6/2005,2005,0.1,39.70687386,-79.69435904,0
1314449,Debris Burning,WV,11/12/2005,11/12/2005,2005,0.5,39.38694636,-80.39057198,0
1314450,Lightning,WV,11/13/2005,11/13/2005,2005,3,39.16934271,-80.51718568,0
1314451,Campfire,WV,11/12/2005,11/12/2005,2005,2,39.55455495,-80.10804517,0
1314452,Debris Burning,WV,12/23/2005,12/23/2005,2005,0.6,39.13653852,-80.37593603,0
1314453,Children,WV,7/4/2005,7/4/2005,2005,2,39.55833861,-78.07270546,0
1314454,Debris Burning,WV,7/27/2005,7/27/2005,2005,1,39.06366,-78.65963752,0
1314455,Lightning,WV,8/2/2005,8/2/2005,2005,0.1,39.60974654,-78.23068969,0
1314456,Arson,WV,8/23/2005,8/23/2005,2005,0.1,39.63335586,-78.78614098,0
1314457,Arson,WV,9/7/2005,9/7/2005,2005,0.1,39.6345825,-78.78338703,0
1314458,Arson,WV,9/8/2005,9/8/2005,2005,0.4,39.63266012,-78.78509125,0
1314459,Debris Burning,WV,9/11/2005,9/11/2005,2005,2,39.35112837,-79.01313859,0
1314460,Debris Burning,WV,9/8/2005,9/8/2005,2005,0.2,39.56815735,-78.25881463,0
1314461,Powerline,WV,9/10/2005,9/10/2005,2005,0.1,39.56519588,-78.19684848,0
1314462,Debris Burning,WV,9/11/2005,9/11/2005,2005,10,39.61761573,-78.16578868,0
1314463,Equipment Use,WV,9/12/2005,9/12/2005,2005,0.4,39.40659079,-78.43812874,0
1314464,Debris Burning,WV,9/13/2005,9/13/2005,2005,2,39.47483405,-78.14933636,0
1314465,Debris Burning,WV,9/21/2005,9/21/2005,2005,0.5,39.54292282,-77.98172635,0
1314466,Powerline,WV,9/25/2005,9/25/2005,2005,3,39.5882333,-78.02524889,0
1314467,Equipment Use,WV,9/19/2005,9/19/2005,2005,1,39.62580376,-78.04341915,0
1314468,Arson,WV,9/28/2005,9/28/2005,2005,7,39.54885606,-78.26851163,0
1314469,Fireworks,WV,9/30/2005,9/30/2005,2005,2,39.51618199,-78.49572772,0
1314470,Debris Burning,WV,10/3/2005,10/3/2005,2005,0.1,39.39610839,-78.44607135,0
1314471,Campfire,WV,10/3/2005,10/3/2005,2005,6,39.37277978,-78.63583456,0
1314472,Arson,WV,11/1/2005,11/1/2005,2005,5,39.46385891,-78.05669312,0
1314473,Equipment Use,WV,10/4/2005,10/4/2005,2005,0.3,39.040324,-78.95145756,0
1314474,Debris Burning,WV,11/3/2005,11/3/2005,2005,0.1,39.34150671,-79.06495208,0
1314475,Structure,WV,11/17/2005,11/17/2005,2005,0.5,39.26320385,-78.5740413,0
1314476,Equipment Use,WV,11/17/2005,11/17/2005,2005,3,39.10790334,-79.06537921,0
1314477,Arson,WV,11/27/2005,11/27/2005,2005,0.1,39.43826508,-78.9955596,0
