OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1817375,Campfire,WA,6/19/2015,7/15/2015,2015,0.25,47.1974,-122.1349,26
1817377,Campfire,WA,7/3/2015,7/15/2015,2015,0.2,48.6561,-122.8187,12
1817378,Campfire,WA,7/10/2015,7/16/2015,2015,1,46.7219,-122.9093,6
1817381,Campfire,WA,7/17/2015,7/17/2015,2015,0.1,48.566,-121.9947,0
1817392,Campfire,WA,7/2/2015,7/20/2015,2015,0.01,46.9994,-123.8644,18
1817397,Campfire,WA,7/22/2015,7/22/2015,2015,0.1,45.9536,-122.4162,0
1817400,Campfire,WA,7/20/2015,7/23/2015,2015,0.3,47.6521,-117.2922,3
1817404,Campfire,WA,7/17/2015,7/24/2015,2015,0.1,48.2258,-121.9313,7
1817405,Campfire,WA,7/9/2015,7/24/2015,2015,0.01,47.6787,-117.1858,15
1817415,Campfire,WA,7/27/2015,7/28/2015,2015,0.1,47.7051,-121.3089,1
1817454,Campfire,WA,8/7/2015,8/7/2015,2015,0.5,45.9443,-122.7768,0
1817456,Campfire,WA,7/31/2015,8/7/2015,2015,0.1,46.9918,-123.8834,7
1817462,Campfire,WA,8/2/2015,8/8/2015,2015,0.25,47.9048,-121.8917,6
1817468,Campfire,WA,8/8/2015,8/9/2015,2015,0.01,47.2543,-120.8938,1
1817475,Campfire,WA,8/4/2015,8/10/2015,2015,0.1,46.3649,-122.7447,6
1817482,Campfire,WA,7/17/2015,8/11/2015,2015,0.3,48.5471,-122.1072,25
1817483,Campfire,WA,8/8/2015,8/11/2015,2015,0.12,46.9717,-123.6245,3
1817486,Campfire,WA,8/12/2015,8/13/2015,2015,0.1,46.1194,-122.8979,1
1817487,Campfire,WA,8/11/2015,8/14/2015,2015,0.1,45.7451,-122.0531,3
1817490,Campfire,WA,8/15/2015,8/15/2015,2015,0.1,46.0363,-122.7534,0
1817491,Campfire,WA,8/1/2015,8/15/2015,2015,1.2,46.441104,-122.564667,14
1817492,Campfire,WA,8/12/2015,8/16/2015,2015,0.01,47.483,-122.9175,4
1817500,Campfire,WA,7/1/2015,8/21/2015,2015,0.1,47.9571,-124.4001,51
1817508,Campfire,WA,8/3/2015,8/25/2015,2015,0.15,48.846,-119.3166,22
1817512,Campfire,WA,8/19/2015,8/27/2015,2015,0.1,48.4686,-122.6011,8
1817515,Campfire,WA,8/23/2015,8/29/2015,2015,0.77,47.5523,-117.6115,6
1817518,Campfire,WA,8/29/2015,8/30/2015,2015,0.01,47.9885,-122.7775,1
1817523,Campfire,WA,8/13/2015,8/31/2015,2015,0.01,48.3147,-124.6615,18
1817527,Campfire,WA,8/24/2015,9/1/2015,2015,0.01,47.7965,-117.3605,8
1817531,Campfire,WA,8/21/2015,9/2/2015,2015,0.01,48.9183,-122.2079,12
1817551,Campfire,WA,6/24/2015,9/7/2015,2015,0.01,48.2253,-117.5855,75
1817559,Campfire,WA,8/19/2015,9/8/2015,2015,0.01,47.6729,-117.2415,20
1817560,Campfire,WA,8/22/2015,9/8/2015,2015,0.1,47.6474,-117.3021,17
1817569,Campfire,WA,9/10/2015,9/10/2015,2015,0.01,48.0825,-123.7193,0
1817582,Campfire,WA,9/4/2015,9/16/2015,2015,0.01,47.7366,-117.0797,12
1817587,Campfire,WA,8/17/2015,9/18/2015,2015,60,45.7393,-122.0971,32
1817591,Campfire,WA,9/19/2015,9/19/2015,2015,0.01,47.2265,-120.3683,0
1817595,Campfire,WA,9/20/2015,9/20/2015,2015,0.1,45.688,-122.2718,0
1817622,Campfire,WA,9/26/2015,9/26/2015,2015,0.1,45.956,-121.4159,0
